NiTi crystalline-amorphous nanocomposite,,,NiTi crystalline-amorphous nanocomposite,,,110 nm-grain-size polycrystalline NiTi,,,110 nm-grain-size polycrystalline NiTi,
Superelastic,Fig. 2a,,Plastic,Fig. 2b,,Superelastic,Fig. 2a,,Plastic,Fig. 2b
Compressive strain,Compressive stress (MPa),,Compressive strain,Compressive stress (MPa),,Compressive strain,Compressive stress (MPa),,Compressive strain,Compressive stress (MPa)
0.00363,175.02114,,0.00517,244.32674,,0.00283,196.99716,,0.00375,250.83571
0.00371,176.91383,,0.0052,245.76705,,0.00285,198.19108,,0.00376,252.93384
0.00373,178.79826,,0.00525,247.1617,,0.00286,199.385,,0.00378,255.09637
0.00378,180.68932,,0.00523,248.63958,,0.00288,200.57892,,0.00381,257.27146
0.00379,182.59773,,0.00533,250.08141,,0.0029,201.77285,,0.00385,259.39867
0.00383,184.53197,,0.00528,251.49985,,0.00291,202.96677,,0.00387,261.58999
0.00388,186.51481,,0.0053,253.11593,,0.00293,204.16069,,0.00388,263.77881
0.00388,188.51814,,0.00536,254.63426,,0.00295,205.35461,,0.00394,265.94524
0.00396,190.51775,,0.00545,256.11287,,0.00297,206.54853,,0.00395,268.13032
0.00398,192.49225,,0.00545,257.50254,,0.00298,207.74246,,0.00398,270.33468
0.00405,194.38929,,0.00542,259.04992,,0.003,208.93638,,0.004,272.52397
0.00409,196.22901,,0.00541,260.73883,,0.00302,210.1303,,0.00406,274.68866
0.00414,198.06477,,0.00546,262.44715,,0.00303,211.32422,,0.00408,276.85424
0.00416,199.92822,,0.00548,264.10578,,0.00305,212.4501,,0.00412,278.96792
0.00418,201.86519,,0.00552,265.79701,,0.00303,214.46325,,0.00414,281.14514
0.00423,203.79559,,0.00551,267.51617,,0.00307,216.49979,,0.00417,283.30296
0.00426,205.68069,,0.00565,269.16764,,0.00305,218.60955,,0.00423,285.41974
0.00432,207.62787,,0.00566,270.66502,,0.00315,220.69547,,0.00422,287.5752
0.00434,209.55617,,0.00567,272.23626,,0.00322,222.60112,,0.00423,289.79141
0.00439,211.5072,,0.00571,273.83443,,0.00318,224.57863,,0.00429,292.0006
0.00443,213.41539,,0.00573,275.41022,,0.00322,226.69957,,0.00429,294.19666
0.00446,215.3235,,0.00569,277.09887,,0.00332,228.66415,,0.00435,296.39964
0.00451,217.21987,,0.00571,278.95047,,0.00338,230.50676,,0.00437,298.53714
0.00453,219.13018,,0.00572,280.7875,,0.00347,232.20777,,0.00436,300.80684
0.00455,221.17046,,0.0059,282.50659,,0.00341,234.02217,,0.00444,302.99993
0.00464,223.05055,,0.00605,283.72214,,0.0034,236.02303,,0.00444,305.2107
0.00465,224.94013,,0.00604,284.92509,,0.00337,238.20976,,0.0045,307.36743
0.00469,226.87392,,0.00601,286.24268,,0.00352,240.29099,,0.00454,309.51457
0.00473,228.82068,,0.00603,287.74736,,0.00351,242.23554,,0.00457,311.64774
0.00477,230.82748,,0.00613,289.07319,,0.00356,244.25172,,0.00458,313.77914
0.00479,232.77882,,0.0061,290.49674,,0.00354,246.32027,,0.00461,315.93134
0.00486,234.69698,,0.00619,291.82265,,0.00361,248.39228,,0.00461,318.13346
0.00489,236.56701,,0.00611,293.29111,,0.00359,250.52286,,0.00466,320.39241
0.00493,238.51886,,0.00611,294.95001,,0.00366,252.67388,,0.00466,322.61063
0.00494,240.46537,,0.0061,296.69821,,0.00377,254.60316,,0.0047,324.84819
0.00502,242.39691,,0.00621,298.39873,,0.00377,256.48176,,0.00477,327.00351
0.00503,244.29626,,0.00624,299.97299,,0.00363,258.70503,,0.00477,329.1845
0.00507,246.24979,,0.0063,301.48213,,0.00372,261.11241,,0.00481,331.38048
0.00514,248.12642,,0.0062,303.15723,,0.00381,263.25936,,0.00489,333.47437
0.00519,249.95356,,0.00623,305.05022,,0.00389,265.32272,,0.00491,335.4968
0.0052,251.79891,,0.00625,306.92812,,0.00391,267.22131,,0.00495,337.51094
0.00523,253.70792,,0.0063,308.77183,,0.00383,269.48435,,0.00496,339.5696
0.00529,255.57403,,0.00638,310.50467,,0.00396,271.68182,,0.00502,341.60422
0.00529,257.52334,,0.0064,312.18785,,0.00406,273.61025,,0.00501,343.65986
0.00535,259.51979,,0.00641,313.90115,,0.00417,275.31988,,0.00506,345.72458
0.00539,261.44714,,0.00643,315.67258,,0.00414,276.99245,,0.00506,347.84267
0.00544,263.3291,,0.00649,317.41722,,0.00417,278.81732,,0.00511,349.99152
0.00546,265.24472,,0.0066,318.98848,,0.00414,280.73689,,0.00514,352.07763
0.00551,267.13755,,0.00672,320.30472,,0.00418,282.73362,,0.00517,354.14403
0.00555,268.96752,,0.00665,321.59897,,0.00418,284.78081,,0.00519,356.25523
0.0056,270.88008,,0.00663,323.23166,,0.00424,286.8365,,0.00524,358.35006
0.00562,272.72534,,0.00677,324.69955,,0.00418,288.9864,,0.00527,360.3875
0.00567,274.65149,,0.00674,326.13352,,0.00418,291.36538,,0.00531,362.41235
0.00572,276.47153,,0.0068,327.59467,,0.00432,293.59461,,0.00531,364.48861
0.00572,278.37152,,0.00678,329.06793,,0.00443,295.47988,,0.00536,366.59823
0.00576,280.40375,,0.00687,330.63079,,0.0044,297.38748,,0.00539,368.60703
0.00582,282.29399,,0.00698,331.89064,,0.00437,299.50799,,0.00538,370.71484
0.00586,284.19985,,0.00696,333.14598,,0.00436,301.76415,,0.00546,372.80805
0.00588,286.12539,,0.00697,334.52508,,0.0044,304.09102,,0.0055,374.81374
0.00595,287.97425,,0.00706,335.89244,,0.00449,306.30998,,0.00552,376.82199
0.00596,289.85101,,0.00709,337.11031,,0.00452,308.40342,,0.00556,378.83069
0.00603,291.67734,,0.007,338.55548,,0.00461,310.42906,,0.00555,380.89233
0.00603,293.59607,,0.00687,340.40159,,0.00469,312.28293,,0.00556,383.05613
0.00608,295.54979,,0.00687,342.61304,,0.00473,314.05072,,0.00562,385.20227
0.00614,297.40431,,0.00703,344.54834,,0.00475,315.79489,,0.00568,387.20729
0.00617,299.22022,,0.00709,346.26902,,0.00469,317.75166,,0.00573,389.10516
0.00623,301.05716,,0.0071,347.92662,,0.00478,319.82882,,0.00576,391.06663
0.00624,302.85142,,0.00701,349.90107,,0.00489,321.58215,,0.00577,393.00627
0.00629,304.72732,,0.00715,351.83548,,0.00479,323.44124,,0.00578,395.01223
0.00631,306.53647,,0.00726,353.40811,,0.00476,325.70402,,0.00582,397.03175
0.00635,308.46087,,0.00728,354.90737,,0.00478,328.03262,,0.0059,398.97681
0.00638,310.41684,,0.00737,356.35362,,0.00484,330.3173,,0.00614,400.46125
0.00644,312.32662,,0.00742,357.63907,,0.0049,332.52256,,0.00621,401.61875
0.00648,314.13237,,0.00746,358.88097,,0.00496,334.61436,,0.00621,402.75747
0.00651,315.93674,,0.00738,360.33238,,0.00503,336.59934,,0.00623,404.04412
0.00653,317.94935,,0.0074,362.00064,,0.00501,338.60076,,0.00623,405.36342
0.0066,319.75324,,0.0075,363.53542,,0.00505,340.72583,,0.00629,406.76514
0.0066,321.62004,,0.00756,364.93143,,0.00508,342.75676,,0.00627,408.18377
0.00666,323.53312,,0.00759,366.26933,,0.00506,344.96735,,0.00634,409.64197
0.0067,325.44826,,0.00752,367.75025,,0.00519,347.02692,,0.00633,411.12606
0.00677,327.21858,,0.00755,369.48614,,0.00511,349.12757,,0.0064,412.62536
0.0068,328.93478,,0.00775,370.95295,,0.00519,351.32877,,0.00642,414.13001
0.00685,330.65574,,0.00782,371.9026,,0.00524,353.41206,,0.00642,415.63509
0.00686,332.38677,,0.0077,373.19573,,0.00532,355.40499,,0.0064,417.35466
0.00691,334.18346,,0.0077,374.79773,,0.00531,357.37224,,0.00641,419.20011
0.00692,336.00664,,0.00773,376.46494,,0.00538,359.37135,,0.00644,421.04532
0.00698,337.81549,,0.0078,377.98526,,0.0054,361.26902,,0.00649,422.88492
0.00701,339.70414,,0.00769,379.70951,,0.00536,363.37777,,0.00649,424.71998
0.00704,341.54394,,0.00781,381.51107,,0.0054,365.61093,,0.00656,426.5903
0.00708,343.41395,,0.00779,383.21328,,0.00546,367.74951,,0.00658,428.36402
0.00714,345.22247,,0.0079,384.96115,,0.00554,369.72384,,0.00666,430.101
0.00715,347.03567,,0.00795,386.38477,,0.00548,371.7627,,0.00661,431.9162
0.00721,348.83491,,0.00788,388.03046,,0.00543,374.20858,,0.00668,433.77512
0.00725,350.64079,,0.00802,389.68961,,0.00562,376.48476,,0.00671,435.62918
0.00728,352.4199,,0.00799,391.16643,,0.00572,378.245,,0.00672,437.48611
0.0073,354.28421,,0.00791,392.99901,,0.00572,379.9764,,0.00676,439.38085
0.00733,356.25528,,0.00798,394.94891,,0.00555,382.14569,,0.00682,441.16842
0.00738,358.11863,,0.00803,396.73064,,0.00565,384.6859,,0.00679,443.08295
0.00743,359.96313,,0.00811,398.47117,,0.00576,386.77312,,0.00687,444.99836
0.00747,361.83205,,0.0082,399.94601,,0.00582,388.70541,,0.00694,446.69941
0.00751,363.65638,,0.00822,401.39127,,0.00579,390.70129,,0.00694,448.48336
0.00754,365.48152,,0.00822,402.8662,,0.00581,392.90528,,0.00698,450.24072
0.00757,367.33941,,0.00819,404.53907,,0.00585,395.01467,,0.00705,451.94745
0.0076,369.24082,,0.0083,406.19425,,0.00585,397.25092,,0.00704,453.63543
0.00767,371.04094,,0.00842,407.47958,,0.00589,399.43427,,0.00712,455.38113
0.00772,372.78284,,0.00838,408.75841,,0.00594,401.63605,,0.00719,456.89201
0.00777,374.47797,,0.00835,410.29904,,0.00603,403.65112,,0.0072,458.47022
0.00778,376.18382,,0.00838,411.97473,,0.00599,405.67685,,0.00726,460.00578
0.00781,378.06,,0.0085,413.42588,,0.00599,407.93188,,0.00729,461.57499
0.00784,379.91015,,0.00846,414.88862,,0.00605,410.22164,,0.00737,462.9418
0.00791,381.62556,,0.00838,416.68759,,0.00607,412.41377,,0.00737,464.41425
0.00794,383.37612,,0.00847,418.5306,,0.00613,414.56133,,0.00739,465.92012
0.00797,385.13271,,0.00856,420.16253,,0.00614,416.71642,,0.00743,467.4975
0.00798,387.00385,,0.00864,421.60077,,0.00609,419.00014,,0.00744,469.07215
0.00803,388.89443,,0.00858,423.10479,,0.00614,421.52978,,0.00746,470.73716
0.0081,390.70218,,0.00863,424.78508,,0.00631,423.66194,,0.00753,472.29609
0.00812,392.41642,,0.0087,426.29407,,0.00638,425.43547,,0.00754,473.88965
0.00815,394.22798,,0.00872,427.76936,,0.00634,427.31361,,0.00759,475.46957
0.00819,395.99521,,0.00863,429.45747,,0.00637,429.3621,,0.00763,477.04863
0.00822,397.8769,,0.00862,431.46234,,0.00643,431.31855,,0.0077,478.50746
0.00827,399.71285,,0.00874,433.3607,,0.00648,433.20384,,0.0077,480.02126
0.00828,401.63544,,0.00891,434.82395,,0.00652,435.03496,,0.00787,481.40665
0.00839,403.34407,,0.00885,436.16186,,0.00646,437.03906,,0.00799,482.2563
0.00838,405.03613,,0.00885,437.78041,,0.00655,439.12963,,0.00803,483.06302
0.00842,406.85426,,0.00886,439.46291,,0.00656,441.09582,,0.00807,483.88483
0.00846,408.72892,,0.00893,441.13965,,0.00658,443.18712,,0.00807,484.82187
0.00849,410.51002,,0.00902,442.60311,,0.00657,445.30673,,0.00813,485.76692
0.00855,412.24476,,0.00903,443.99767,,0.00657,447.64502,,0.00816,486.67911
0.00856,414.06944,,0.00898,445.59822,,0.00663,449.87994,,0.00815,487.77753
